input,ao,ap,cp
ngoài thái độ của nhân viên hơi lồi lõm ra thì món ăn lúc nào cũng ngon chỉ có cơm trộn hơi lừa tình nhìn bự mà đem ra nhỏ xíu,"{thái độ của nhân viên,lồi lõm};{món ăn,ngon};{cơm trộn,nhỏ xíu}","{thái độ của nhân viên,negative};{món ăn,positive};{cơm trộn,negative}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative}"
quán được cái quang cảnh ngay sông không gian thoáng mát nhưng thái độ nhân viên tệ vô cùng,"{thái độ nhân viên,tệ};{view,ngay sông};{không gian,thoáng mát}","{thái độ nhân viên,negative};{view,neutral};{không gian,positive}","{SERVICE#GENERAL,negative};{LOCATION#GENERAL,neutral};{AMBIENCE#GENERAL,positive}"
đồ ăn kfc vẫn ngon như từ đó đến giờ nhưng thái độ nhân viên càng ngày càng tệ,"{thái độ nhân viên,tệ};{đồ ăn,ngon}","{thái độ nhân viên,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
tuy giá hơi cao xíu nhưng chất lượng thì xứng đáng vô cùng .,"{chất lượng,xứng đáng};{giá,cao}","{chất lượng,neutral};{giá,negative}","{RESTAURANT#GENERAL,neutral};{RESTAURANT#PRICES,negative}"
"bufet ở đây khá đông vào buổi tối , đồ ăn cũng đa dạng , phục vụ thì nhiệt tình , chỉ có điều quán còn nhiều ruồi và hải sản không được tươi cho lắm","{buffet,đông};{quán,nhiều ruồi};{phục vụ,nhiệt tình};{hải sản,ko được tươi};{đồ ăn,đa dạng}","{buffet,neutral};{quán,negative};{phục vụ,positive};{hải sản,negative};{đồ ăn,positive}","{RESTAURANT#GENERAL,neutral};{RESTAURANT#GENERAL,negative};{SERVICE#GENERAL,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#STYLE&OPTIONS,positive}"
hôm mình vào ăn thì nha hàng kha đông khách tuy nhiên khi mình gọi món thì món ăn lên nhanh không phai đợi lâu nhân viên phục vụ rất thân thiện và nhiệt tình nữa món ăn rất vừa miệng rất ngon,"{nha hàng,đông};{nhân viên phục vụ,thân thiện};{món ăn lên,nhanh};{món ăn,ngon};{nhân viên phục vụ,nhiệt tình}","{nha hàng,neutral};{nhân viên phục vụ,positive};{món ăn lên,positive};{món ăn,positive};{nhân viên phục vụ,positive}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,positive};{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{SERVICE#GENERAL,positive}"
thích nhất mì ăn cực ngon giá cả hơi cao,"{mì,ngon};{giá cả,cao}","{mì,positive};{giá cả,negative}","{FOOD#QUALITY,positive};{FOOD#PRICES,negative}"
"quàn nằm trên đường trường sa , dễ tìm , không gian không lớn lắm nhưng không quá đông .","{không gian,null};{quàn,dễ tìm};{quàn,trên đường trường sa}","{không gian,neutral};{quàn,positive};{quàn,neutral}","{AMBIENCE#GENERAL,neutral};{LOCATION#GENERAL,positive};{LOCATION#GENERAL,neutral}"
mình cảm thấy cũng biết ăn được cái no nhân viên phục vụ cũng nhanh,"{nv phục vụ,nhanh};{null,no};{null,bt}","{nv phục vụ,positive};{null,positive};{null,neutral}","{SERVICE#GENERAL,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#QUALITY,neutral}"
mình thì thấy ngon nhưng mà không hợp túi xiền nên không quay lại nữa đâu,"{null,ngon};{null,null}","{null,positive};{null,negative}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,negative}"
nước uống mình gọi ép ổi dâu thì vì rẻ giá tiền nên uống như nước ép đóng chai ấy không ngon lắm,"{ép ổi dâu,rẻ};{null,không ngon}","{ép ổi dâu,positive};{null,negative}","{DRINKS#PRICES,positive};{DRINKS#QUALITY,negative}"
không khí mát mẻ vô cùng giá cũng không đắt lắm phù hợp cho sinh viên nữa nhưng đồ uống thì hơi hạn chế món,"{giá,k đắt};{không khí,mát mẻ};{đồ uống,hạn chế}","{giá,positive};{không khí,positive};{đồ uống,negative}","{RESTAURANT#PRICES,positive};{AMBIENCE#GENERAL,positive};{DRINKS#STYLE&OPTIONS,negative}"
nói chung là đồ ăn thì được nhưng rất chậm chỉ có điểm cộng là các bạn phục vụ ở đây nhiệt tình,"{null,chậm};{các bạn phục vụ,nhiệt tình};{đồ ăn,được}","{null,negative};{các bạn phục vụ,positive};{đồ ăn,neutral}","{SERVICE#GENERAL,negative};{SERVICE#GENERAL,positive};{FOOD#QUALITY,neutral}"
đặt vận chuyển về thì miếng gà giá tiền nhỏ xíu vậy ta ăn thì cũng ngon,"{miếng gà,ngon};{miếng gà,nhỏ};{miếng gà,null}","{miếng gà,positive};{miếng gà,negative};{miếng gà,neutral}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,neutral}"
quán không gian num tầng rộng rãi đồ uống ở đây mình có thử nhưng không ấn tượng gì mấy,"{không gian,rộng rãi};{đồ uống,ko ấn tượng}","{không gian,positive};{đồ uống,negative}","{AMBIENCE#GENERAL,positive};{DRINKS#QUALITY,negative}"
"bày trí món ăn dễ nhìn , thức uống đa dạng và ngon , thiếu chỗ gửi xe ô tô","{thức uống,ngon};{bày trí món ăn,đa dạng};{thức uống,đa dạng};{chỗ gửi xe oto,thiếu}","{thức uống,positive};{bày trí món ăn,positive};{thức uống,positive};{chỗ gửi xe oto,negative}","{DRINKS#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{DRINKS#STYLE&OPTIONS,positive};{RESTAURANT#MISCELLANEOUS,negative}"
bufet ở đây không nhiều món gian phòng khá nhỏ những món ăn cũng bình thường bàn ghế ngồi khá lịch sự trang nhã,"{món ăn,bình thường};{gian phòng,nhỏ};{món,không nhiều};{bàn ghế,lịch sự trang nhã}","{món ăn,neutral};{gian phòng,negative};{món,negative};{bàn ghế,positive}","{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,negative};{FOOD#STYLE&OPTIONS,negative};{RESTAURANT#MISCELLANEOUS,positive}"
không gian vỉa hè ngồi thoải mái phục vụ nhanh chóng tuy nhiên đừng gọi trà sữa vì theo mình trà sữa chưa ngon,"{phục vụ,nhanh chóng};{không gian vỉa hè,thoải mái};{trà sữa,chưa ngon}","{phục vụ,positive};{không gian vỉa hè,positive};{trà sữa,negative}","{SERVICE#GENERAL,positive};{AMBIENCE#GENERAL,positive};{DRINKS#QUALITY,negative}"
giá khá ok cho num phần như vậy không gian hơi hẹp bàn sát sát nhau nên không được riêng tư cho lắm,"{giá,ok};{không gian,hẹp}","{giá,neutral};{không gian,negative}","{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,negative}"
các món ăn cũng được phục vụ khá nhanh không phải đợi lâu,"{phục vụ,nhanh ko phải đợi lâu};{món ăn,cũng đc}","{phục vụ,positive};{món ăn,neutral}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,neutral}"
đồ ăn ở đây tuy ngon nhưng giá hơi cao cộng thêm phần nào cũng rất ít ăn không đủ no đâu,"{đồ ăn,ngon};{đồ ăn,ít ăn k đủ no};{giá,cao}","{đồ ăn,positive};{đồ ăn,negative};{giá,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,negative}"
"đồ ăn ngon , trang trí bắt mắt , phục vụ nhiệt tình vui vẻ , không gian ok , sẽ quay lại","{phục vụ,nhiệt tình vui vẻ};{đồ ăn,ngon};{trang trí,bắt mắt};{không gian,ok}","{phục vụ,positive};{đồ ăn,positive};{trang trí,positive};{không gian,neutral}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,neutral}"
nói chung thì dạng mo mo rất ít lựa chọn chỉ có thịt heo và bò giá cả cũng không phải thật dạng rẻ lâu lâu đôi gió hay sợ ăn nhiều thịt thì qua đây cũng được,"{lựa chọn,ít};{giá cả,null};{null,cũng được}","{lựa chọn,negative};{giá cả,neutral};{null,neutral}","{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,neutral};{RESTAURANT#GENERAL,neutral}"
đồ ăn rất ngon bàn hơi thấp ngồi ăn không được thoải mái lắm,"{đồ ăn,ngon};{bàn,thấp}","{đồ ăn,positive};{bàn,negative}","{FOOD#QUALITY,positive};{RESTAURANT#MISCELLANEOUS,negative}"
đồ ăn thì công nhận là cũng có thể gọi là ngon nhưng nhìn vẻ mặt và ánh mắt mấy bạn nhân viên thì ngon cỡ nào cũng hoá tệ,"{nhân viên,tệ};{đồ ăn,ngon}","{nhân viên,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
đồ ăn ngon nhân viên phục vụ nhiệt tình chu đáo nhưng giá vé bufet cho hoàng yến premier là quá cao,"{nhân viên phục vụ,nhiệt tình chu đáo};{đồ ăn,ngon};{giá vé buffet,cao}","{nhân viên phục vụ,positive};{đồ ăn,positive};{giá vé buffet,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative}"
"không gian gộp chung fod court với khu siêu thị nên bất tiện đủ điều khu ngồi ăn nhỏ xíu nên chút xíu là hết chỗ ngồi nhân viên dọn dẹp lại chậm , được cái đồ ăn đa dạng","{nhân viên,chậm};{không gian,bất tiện};{khu ngồi ăn,nhỏ};{đồ ăn,đa dạng}","{nhân viên,negative};{không gian,negative};{khu ngồi ăn,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{AMBIENCE#GENERAL,negative};{RESTAURANT#MISCELLANEOUS,negative};{FOOD#STYLE&OPTIONS,positive}"
giá hơi cao nhưng bù lại thức ăn chất lượng phục vụ tốt,"{chất lượng phục vụ,tốt};{thức ăn,null};{giá,cao}","{chất lượng phục vụ,positive};{thức ăn,positive};{giá,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative}"
không gian không ồn ào lịch sự đồ uống tuy không đa dạng nhưng cũng tạm chấp nhận được,"{không gian,không ồn ào lịch sự};{đồ uống,tạm chấp nhận đc};{đồ uống,ko đa dạng}","{không gian,positive};{đồ uống,neutral};{đồ uống,negative}","{AMBIENCE#GENERAL,positive};{DRINKS#QUALITY,neutral};{DRINKS#STYLE&OPTIONS,negative}"
"không gian quán trang trí dễ thương , chị chủ nhiệt tình giới thiệu các món ăn với mình , piza ăn hết sức bình thường , không đặc sắc lắm ,","{chị chủ,nhiệt tình};{pizza,bình thườn};{không gian,dễ thương}","{chị chủ,positive};{pizza,neutral};{không gian,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,positive}"
thức ăn là khá ngon nhưng nhân viên thiếu kinh nghiệm,"{nhân viên,thiếu kinh nghiệm};{thức ăn,ngon}","{nhân viên,negative};{thức ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
không gian thoáng nhưng bàn hơi chật khi bày thức ăn cho num người,"{bàn,chật};{không gian,thoáng}","{bàn,negative};{không gian,positive}","{RESTAURANT#MISCELLANEOUS,negative};{AMBIENCE#GENERAL,positive}"
mì lá sốt bò bằm cảm giác hơi chua num xíu nhưng tương đối lạ miệng không gian hơi nhỏ hơi tối nhưng trang trí ấm cúng,"{mì lá sốt bò bằm,chua};{mì lá sốt bò bằm,tương đối lạ miệng};{ko gian,nhỏ};{trang trí,ấm cúng}","{mì lá sốt bò bằm,negative};{mì lá sốt bò bằm,neutral};{ko gian,negative};{trang trí,positive}","{FOOD#QUALITY,negative};{FOOD#STYLE&OPTIONS,neutral};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,positive}"
mặc dù giá cả ở đây hơi đắt nhưng ăn rất ngon,"{null,ngon};{giá cả,đắt}","{null,positive};{giá cả,negative}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative}"
tuy giá cả hơi cao nhưng chất lượng ưng lắm,"{chất lượng,null};{giá cả,cao}","{chất lượng,positive};{giá cả,negative}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,negative}"
"không gian hơi nhỏ nên thấy hơi ngột ngạt , còn phục vụ thì khá nhiệt tình","{phục vụ,nhiệt tình};{không gian,nhỏ};{không gian,ngột ngạt}","{phục vụ,positive};{không gian,negative};{không gian,negative}","{SERVICE#GENERAL,positive};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,negative}"
giá thì hơi đắt nhưng xứng đáng với chất lượng,"{giá,đắt};{chất lượng,xứng đáng}","{giá,neutral};{chất lượng,positive}","{RESTAURANT#PRICES,neutral};{RESTAURANT#GENERAL,positive}"
"sasimi rất tươi và ngon , phục vụ nhiệt tình , món ăn ra đủ và nhanh , chỉ có nước hơi lâu , , sẽ giới thiệu bạn bè ủng hộ tốt tốt tốt","{phục vụ,nhiệt tình};{sasimi,ngon};{sasimi,tươi};{món ăn ra,nhanh};{null,giới thiệu bạn bè};{null,lâu};{món ăn ra,nhanh}","{phục vụ,positive};{sasimi,positive};{sasimi,positive};{món ăn ra,positive};{null,positive};{null,negative};{món ăn ra,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{SERVICE#GENERAL,positive};{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,negative};{SERVICE#GENERAL,positive}"
quán cũng bình thường không gian có trong nhà và ngoài trời giá cả rẻ nhân viên phục vụ tốt món ăn cũng tạm không phải là ngon bánh bông lan trứng muối với mì tương đen hơi dở,"{nhân viên phục vụ,tốt};{món ăn,tạm};{giá cả,rẻ};{không gian,null};{quán,bình thường};{bánh bông lan trứng muối,dở};{mì tương đen,dở}","{nhân viên phục vụ,positive};{món ăn,neutral};{giá cả,positive};{không gian,neutral};{quán,neutral};{bánh bông lan trứng muối,negative};{mì tương đen,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,neutral};{RESTAURANT#PRICES,positive};{AMBIENCE#GENERAL,neutral};{RESTAURANT#GENERAL,neutral};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative}"
quán chỉ có một chi nhánh ở num hoa mai nên cũng khá xa nhưng cảm thấy hài lòng vì món ăn ở đây rất ngon không gian quán nhìn ấm cúng không quá ồn ào,"{món ăn,ngon};{không gian,ấm cúng};{null,xa}","{món ăn,positive};{không gian,positive};{null,negative}","{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,positive};{LOCATION#GENERAL,negative}"
"đồ ăn ngon , quán đẹp , nhân viên thân thiện , nằm ở mặt tiền , dưới có chỗ giữ xe , giá khá cao nhưng cũng chấp nhận được","{nhân viên,thân thiện};{đồ ăn,ngon};{chỗ giữ xe,null};{quán,đẹp};{null,mặt tiền};{giá,cao}","{nhân viên,positive};{đồ ăn,positive};{chỗ giữ xe,positive};{quán,positive};{null,positive};{giá,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#MISCELLANEOUS,positive};{RESTAURANT#GENERAL,positive};{LOCATION#GENERAL,positive};{RESTAURANT#PRICES,negative}"
thật sự món ngon nhưng thái độ phục vụ không hề chuyên nghiệp,"{thái độ phục vụ,không hề chuyên nghiệp};{món,ngon}","{thái độ phục vụ,negative};{món,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
nhưng đáng tiếc đồ ăn ngon nhưng ăn trong tâm thái không thoải mái thì cũng chả tốt đẹp gì nhân viên quá tệ,"{nhân viên,tệ};{đồ ăn,ngon}","{nhân viên,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
nhân viên nhiệt tình đồ ăn trang trí đẹp mắt nhưng mà lên món hơi lâu thui tốt,"{nhân viên,nhiệt tình};{đồ ăn trang trí,đẹp mắt};{lên món,lâu}","{nhân viên,positive};{đồ ăn trang trí,positive};{lên món,negative}","{SERVICE#GENERAL,positive};{FOOD#STYLE&OPTIONS,positive};{SERVICE#GENERAL,negative}"
giá tuy hơi cao một chút những cũng xứng đồ ăn ngập mặt luôn theo mình thì các món đều ăn ngon nhân viên nhiệt tình order gọi món là chạy liên tục bước vào bụng lép kẹp bước ra đi ì ạch luôn,"{nhân viên,nhiệt tình};{các món,ngon};{đồ ăn,ngập mặt};{giá,cao}","{nhân viên,positive};{các món,positive};{đồ ăn,positive};{giá,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative}"
"mình cũng hay ăn pad thái với heo một nắng ở đây ngon cực kỳ luôn , giá thì khá chua","{pad thái,ngon};{heo một nắng,ngon};{giá,chua}","{pad thái,positive};{heo một nắng,positive};{giá,negative}","{FOOD#QUALITY,positive};{FOOD#QUALITY,positive};{FOOD#PRICES,negative}"
cơm gà giá tiền mà quá nhiều quá ngon phải gần num người ăn mới hết,"{cơm gà,ngon};{cơm gà,nhiều};{cơm gà,null}","{cơm gà,positive};{cơm gà,positive};{cơm gà,neutral}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#PRICES,neutral}"
vị trí đẹp không gian ok giá cả bình thường đồ ăn không ngon như tưởng tượng,"{đồ ăn,không ngon};{không gian,ok};{vị trí,đẹp};{giá cả,bình thường}","{đồ ăn,neutral};{không gian,neutral};{vị trí,positive};{giá cả,neutral}","{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,neutral};{LOCATION#GENERAL,positive};{RESTAURANT#PRICES,neutral}"
quán bày trí lạ mát mẻ diện tích nhỏ mà khách lại đông thành ra chật chội,"{quán bày trí,lạ mát mẻ};{diện tích,nhỏ};{khách,đông}","{quán bày trí,positive};{diện tích,negative};{khách,neutral}","{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,negative};{RESTAURANT#GENERAL,neutral}"
phục vụ món hơi chậm nhưng ngon thì có thể bỏ qua,"{phục vụ,chậm};{món,ngon}","{phục vụ,negative};{món,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
về chất lượng đồ ăn thì tuyệt nên mình cho num đ tuy nhiên thái độ phục vụ thì hơi cần cân nhắc tí,"{thái độ phục vụ,cân nhắc};{chất lượng đồ ăn,tuyệt}","{thái độ phục vụ,negative};{chất lượng đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
"quán ăn ngon , nhân viên khá nhiệt tình , giá thành tạm ổn , sẽ còn quay lại","{nhân viên,nhiệt tình};{giá thành,tạm ổn};{quán,ngon}","{nhân viên,positive};{giá thành,neutral};{quán,positive}","{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,neutral};{FOOD#QUALITY,positive}"
"gửi xe ở cao thắng , nhân viên phục vụ ok có món cá chiên giòn ngon","{nhân viên phục vụ,ok};{gửi xe,null};{cá chiên giòn,ngon}","{nhân viên phục vụ,neutral};{gửi xe,neutral};{cá chiên giòn,positive}","{SERVICE#GENERAL,neutral};{RESTAURANT#MISCELLANEOUS,neutral};{FOOD#QUALITY,positive}"
đồ ăn ngon nhưng thái độ nhân viên cũng chưa thực sự khiến khách hài lòng,"{thái độ nhân viên,null};{đồ ăn,ngon}","{thái độ nhân viên,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
"quán này chắc chỉ hợp ý với mình về cách trang trí quán thôi , mình gọi sữa nóng í nhưng không lên mùi sữa như bị mất mùi ý","{decor,hợp ý};{sữa nóng,kh lên mùi sữa}","{decor,positive};{sữa nóng,negative}","{AMBIENCE#GENERAL,positive};{FOOD#STYLE&OPTIONS,negative}"
"tuyệt vời , đồ ăn ngon , phục vụ tốt , quang cảnh đẹp , giá ổn","{phục vụ,tốt};{đồ ăn,ngon};{giá,ổn};{view,đẹp}","{phục vụ,positive};{đồ ăn,positive};{giá,neutral};{view,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,neutral};{LOCATION#GENERAL,positive}"
đồ ăn có thêm nhiều món mới nhưng giá có tăng hơn so với trước kia,"{đồ ăn,nhiều món mới};{giá,tăng}","{đồ ăn,positive};{giá,negative}","{FOOD#STYLE&OPTIONS,positive};{FOOD#PRICES,negative}"
không gian sang trọng ấm cúng lịch sự thích hợp cho dân văn phòng và trung niên thực đơn cá nhân mình thấy cũng ngang bằng baoz nhưng giá cao hơn có lẽ do thương hiệu thực đơn không nhiều món hấp dẫn lắm,"{giá,cao};{không gian,sang trọng ấm cúng lịch sự};{menu,không nhiều}","{giá,negative};{không gian,positive};{menu,negative}","{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive};{FOOD#STYLE&OPTIONS,negative}"
tuy giá hơi mắc so với các loại khác nhưng chất lượng thì khỏi phải chê .,"{chất lượng,khỏi phải chê};{giá,mắc}","{chất lượng,positive};{giá,negative}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,negative}"
không gian hơi không thoải mái nhân viên phục vụ dễ chịu còn lâu lâu đi hỏi thăm ý kiến khách hàng nữa,"{nhân viên phục vụ,dễ chịu};{không gian,không thoải mái}","{nhân viên phục vụ,positive};{không gian,negative}","{SERVICE#GENERAL,positive};{AMBIENCE#GENERAL,negative}"
nhân viên ở đây cũng thoải mái nhiệt tình lắm giá cả có phần hơi cao hơn những chỗ khác nhưng mà tiền nào của đấy thôi ăn ở hokaido rồi mới thấy những quán khác tuổi gì,"{nhân viên,thoải mái nhiệt tình};{giá cả,cao};{hokkaido,tiền nào của đấy}","{nhân viên,positive};{giá cả,negative};{hokkaido,positive}","{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,negative};{RESTAURANT#GENERAL,positive}"
phục vụ cũng tốt không gian hơi hẹp quán đông đi trưa chắc ngồi gần cửa nên dù có máy lạnh vẫn khá nóng,"{phục vụ,tốt};{không gian,hẹp};{máy lạnh,nóng};{quán,đông}","{phục vụ,positive};{không gian,negative};{máy lạnh,negative};{quán,neutral}","{SERVICE#GENERAL,positive};{AMBIENCE#GENERAL,negative};{RESTAURANT#MISCELLANEOUS,negative};{RESTAURANT#GENERAL,neutral}"
giá cả không đắt vì thanh toán hết hơn giá tiền cho kết hợp num người mình đi num người ăn đủ no chung quy num nhà hàng ổn về chất lượng từ món ăn đến phục vụ,"{nhà hàng,ổn};{phục vụ,chất lượng};{giá cả,không đắt};{món ăn,chất lượng}","{nhà hàng,neutral};{phục vụ,positive};{giá cả,neutral};{món ăn,positive}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,neutral};{FOOD#QUALITY,positive}"
ngoại trừ không gian quán ok ra thì num món bọn mình gọi là mì lạnh và mì cay udon đều dở tệ,"{mì lạnh,dở tệ};{không gian,ok};{mì cay udon,dở tệ}","{mì lạnh,negative};{không gian,neutral};{mì cay udon,negative}","{FOOD#QUALITY,negative};{AMBIENCE#GENERAL,neutral};{FOOD#QUALITY,negative}"
"gà ngon chất lượng , đặc biệt là gà cay phô mai vị rất tuyệt , không gian thoáng mát , đẹp , rộng rãi nhưng quán khá khó tìm","{gà,ngon chất lượng};{không gian,thoáng mát};{null,khó tìm};{gà cay phô mai,tuyệt};{không gian,đẹp};{không gian,rộng rãi}","{gà,positive};{không gian,positive};{null,negative};{gà cay phô mai,positive};{không gian,positive};{không gian,positive}","{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,positive};{LOCATION#GENERAL,negative};{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
"không gian quán nhỏ nhắn , trang trí đẹp nhân viên lịch sự mì ý ăn ok","{nhân viên,lịch sự};{mì ý,ok};{không gian,nhỏ nhắn};{trang trí,đẹp}","{nhân viên,positive};{mì ý,neutral};{không gian,negative};{trang trí,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,positive}"
tổng thiệt hại là giá tiền tính ra thì cũng không rẻ nhưng được cái là ăn no,"{tổng thiệt hại,không rẻ};{null,ăn no}","{tổng thiệt hại,negative};{null,positive}","{RESTAURANT#PRICES,negative};{RESTAURANT#GENERAL,positive}"
quán cũng ấm cúng giá cả cũng không đắt quá,"{giá cả,k đắt};{quán,ấm cúng}","{giá cả,neutral};{quán,positive}","{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,positive}"
"đồ ăn chán , giá đắt , được cái background đẹp để kiểm tra in , chấm hết","{đồ ăn,chán};{background,đẹp};{giá,đắt}","{đồ ăn,negative};{background,positive};{giá,negative}","{FOOD#QUALITY,negative};{RESTAURANT#MISCELLANEOUS,positive};{FOOD#PRICES,negative}"
lâu rồi không ghé quán nói thật là đồ ăn vẫn ngon nhưng không ngon như hồi trước nữa đồ ăn khá nguội nên ăn mau ngán được cái phục vụ và không gian tốt bù lại,"{phục vụ,tốt};{đồ ăn,ngon};{không gian,tốt};{đồ ăn,nguội}","{phục vụ,positive};{đồ ăn,positive};{không gian,positive};{đồ ăn,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,positive};{FOOD#STYLE&OPTIONS,negative}"
không gian có điều hoà trời nóng ăn không thành vấn đề quán đông khách nên nhiều khi phục vụ hơi không để ý tới khách gọi thêm đồ món ăn theo cảm nhận của mình không đặc sắc như một số nhà hàng hàn quốc khác,"{quán,đông};{phục vụ,không để ý};{món ăn,không đặc sắc};{điều hoà,null}","{quán,neutral};{phục vụ,negative};{món ăn,neutral};{điều hoà,positive}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{RESTAURANT#MISCELLANEOUS,positive}"
chất lượng đồ ăn ngon rồi nhưng giá hơi cao gà hơi nhỏ vị khá lạ phục vụ tốt,"{phục vụ,tốt};{chất lượng đồ ăn,ngon};{gà,nhỏ vị khá lạ};{giá,cao}","{phục vụ,positive};{chất lượng đồ ăn,positive};{gà,negative};{giá,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{FOOD#PRICES,negative}"
hôm qua mình và bạn gái có ghé ăn thử vì bạn mình giới thiệu quán bán các món ếch rất ngon cảm nhận của mình như sau vị trí quán khá dễ tìm tuy nhiên hẻm nhỏ nên gửi xe vất vả tí,"{món ếch,ngon};{gửi xe,null};{vị trí quán,dễ tìm}","{món ếch,positive};{gửi xe,negative};{vị trí quán,positive}","{FOOD#QUALITY,positive};{RESTAURANT#MISCELLANEOUS,negative};{LOCATION#GENERAL,positive}"
không gian cũng ok nhưng có điều wifi yếu quá không ngồi làm việc hay gì được có chút buồn nhẹ,"{wifi,yếu};{không gian,ok}","{wifi,negative};{không gian,neutral}","{RESTAURANT#MISCELLANEOUS,negative};{AMBIENCE#GENERAL,neutral}"
vừa béo vừa thơm ăn vào cứ tan ra hoà quyện nơi vòm họng tập hợp cá nướng ăn kèm với cơm trắng rất bén cá ngọt thịt nướng vừa chín tới điểm trừ là món ăn lên hơi chậm hay quên món,"{cá nướng,bén};{thịt nướng,chín tới};{null,vừa béo vừa thơm};{món ăn lên,chậm}","{cá nướng,positive};{thịt nướng,positive};{null,positive};{món ăn lên,negative}","{FOOD#QUALITY,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{SERVICE#GENERAL,negative}"
"gà ngon , sốt phô mai cay cũng ok nhưng ít nên có miếng dính miếng không ăn không được đã lắm .","{gà,ngon};{sốt phô mai cay,ok};{sốt phô mai cay,ít}","{gà,positive};{sốt phô mai cay,neutral};{sốt phô mai cay,negative}","{FOOD#QUALITY,positive};{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,negative}"
